Artist,Title,Key,BPM,Energy,Duration,Genre
Amber Current,Afterglow,10A,141.6,7,2:34,garage
Amber Current,Featherweight,5B,135.3,9,2:41,garage
Amber Current,Half Light,3A,135.1,7,4:17,garage
Amber Current,Mercury,9A,128.7,9,3:48,garage
Amber Current,Stillwater,9A,135.0,8,4:41,garage
Amber Foxes,Gravity,12A,135.3,6,3:14,garage
Amber Foxes,Half Light,12A,134.7,7,4:24,garage
Amber Foxes,Marrow,3B,131.6,8,3:35,garage
Amber Foxes,Runaway,7B,133.9,7,4:15,garage
Amber Foxes,Undertow,1A,132.6,8,4:12,garage
Amber Foxes,Wildfire,12A,134.3,6,2:41,garage
Coastal Voyage,Daydream,2B,123.5,7,3:49,house
Coastal Voyage,Featherweight,3B,120.7,7,3:43,house
Coastal Voyage,Half Light,3A,130.7,6,5:00,house
Coastal Voyage,Lowlands,1A,122.4,8,2:05,house
Coastal Voyage,Undertow,2B,127.3,6,1:56,house
Coastal Voyage,Wildfire,3A,122.0,8,3:54,house
Cobalt Tigers,Daydream,4A,89.0,4,2:12,downtempo
Cobalt Tigers,Gravity,4A,87.5,4,4:06,downtempo
Cobalt Tigers,Lowlands,3A,86.5,3,3:41,downtempo
Cobalt Tigers,Telegraph,2A,87.8,5,3:28,downtempo
Cosmic Mirage,Cold Glass,12B,127.2,7,1:35,garage
Cosmic Mirage,Long Division,1B,139.2,8,3:37,garage
Cosmic Mirage,Rooftops,12A,133.6,8,3:42,garage
Cosmic Mirage,Slow Burn,2B,138.2,8,3:25,garage
Cosmic Mirage,Telegraph,3B,137.0,8,2:32,garage
Cosmic Tide,Ceilings,7A,175.3,8,3:33,dnb
Cosmic Tide,Lowlands,6B,173.1,9,3:04,dnb
Cosmic Tide,Marrow,7B,175.5,8,4:20,dnb
Cosmic Tide,Paper Moons,8B,177.6,9,4:54,dnb
Cosmic Tide,Saltwater,1A,176.8,8,3:28,dnb
Cosmic Tide,Slow Burn,7A,167.0,9,3:45,dnb
Cosmic Tide,Static Bloom,7B,176.3,7,4:16,dnb
Crimson Meadow,Aftertaste,5B,122.2,8,2:30,house
Crimson Meadow,Coastline,1B,124.5,6,2:19,house
Crimson Meadow,Daydream,6B,121.3,7,3:11,house
Crimson Meadow,Gravity,6B,125.4,7,2:36,house
Crimson Meadow,Overgrown,6B,124.3,7,4:12,house
Crimson Meadow,Saltwater,6B,120.7,6,3:15,house
Crimson Mirage,Bittersweet,12A,125.4,8,3:17,house
Crimson Mirage,Coastline,1A,129.0,8,4:00,house
Crimson Mirage,Featherweight,1A,123.1,9,3:20,house
Crimson Mirage,Long Division,1B,118.3,8,3:55,house
Crimson Mirage,Marrow,1A,127.2,8,2:54,house
Crimson Mirage,Soft Focus,12A,122.1,9,1:54,house
Crimson Mirage,Telegraph,12A,121.3,7,2:17,house
Drifting Avenue,Cold Glass,4B,144.5,9,3:56,techno
Drifting Avenue,Gravity,3B,146.5,9,2:37,techno
Drifting Avenue,Mercury,6A,136.8,9,3:11,techno
Drifting Avenue,Open Road,3A,132.8,8,4:29,techno
Drifting Ember,Afterglow,5A,124.7,8,2:55,techno
Drifting Ember,Backseat,5A,140.9,6,2:09,techno
Drifting Ember,Ceilings,5A,130.2,9,2:55,techno
